text,label
She put the fan on the table.,neutral
Don't be such a dipstick.,offensive
There’s a school outside the window.,neutral
Can you pass me that table?,neutral
Why are you such a moron?,offensive
Can you pass me that cup?,neutral
You are such a faggot.,hate
That person is a real tosser.,hate
No one likes a dipshit.,offensive
I saw a cat in the room.,neutral
Why are you such a nincompoop?,offensive
Why are you such a loser?,offensive
Only a dickhead would say something like that.,hate
Only a pussy would say something like that.,hate
You're a complete numbskull sometimes.,offensive
I saw a shoe in the room.,neutral
That person is a real prick.,hate
She put the bed on the table.,neutral
You are such a cocksucker.,hate
Only a slut would say something like that.,hate
Can you pass me that cat?,neutral
She put the television on the table.,neutral
No one likes a nincompoop.,offensive
He bought a new bed yesterday.,neutral
Stop acting like a twit.,offensive
Don't be such a fool.,offensive
Why are you such a loser?,offensive
Being a jerkoff is disgusting.,hate
Why are you such a fool?,offensive
That person is a real dickhead.,hate
I can't believe you called me a fuck.,hate
I can't believe you called me a cock.,hate
No one likes a clown.,offensive
Why are you such a weirdo?,offensive
Why are you such a loser?,offensive
There’s a cup outside the window.,neutral
Stop acting like a stupid.,offensive
You're a complete loser sometimes.,offensive
I saw a house in the room.,neutral
He bought a new mountain yesterday.,neutral
Why are you such a dope?,offensive
No one likes a buffoon.,offensive
She put the phone on the table.,neutral
There’s a book outside the window.,neutral
There’s a chair outside the window.,neutral
You're a complete dope sometimes.,offensive
Don't be such a dumbass.,offensive
I can't believe you called me a crackhead.,hate
Don't be such a simpleton.,offensive
Don't be such a jerk.,offensive
That person is a real scumbag.,hate
I can't believe you called me a nigga.,hate
Why are you such a idiot?,offensive
Stop acting like a blockhead.,offensive
Being a nigga is disgusting.,hate
You're a complete nincompoop sometimes.,offensive
You are such a twat.,hate
Why are you such a airhead?,offensive
Don't be such a bonehead.,offensive
You're a complete idiot sometimes.,offensive
I can't believe you called me a cock.,hate
Can you pass me that bag?,neutral
That person is a real tosser.,hate
Only a nigga would say something like that.,hate
She put the key on the table.,neutral
Don't be such a moron.,offensive
You are such a scumbag.,hate
No one likes a dope.,offensive
You're a complete fool sometimes.,offensive
That person is a real arsehole.,hate
Only a douchebag would say something like that.,hate
You are such a pussy.,hate
He bought a new lamp yesterday.,neutral
I saw a bottle in the room.,neutral
I saw a shoe in the room.,neutral
That person is a real cunt.,hate
Can you pass me that bed?,neutral
Only a cunt would say something like that.,hate
Why are you such a numbskull?,offensive
Stop acting like a nutcase.,offensive
Stop acting like a blockhead.,offensive
That person is a real shithead.,hate
That person is a real wanker.,hate
Can you pass me that chair?,neutral
Being a douchebag is disgusting.,hate
No one likes a dumbass.,offensive
That person is a real fuck.,hate
Stop acting like a numbskull.,offensive
Don't be such a loser.,offensive
Only a shithead would say something like that.,hate
He bought a new computer yesterday.,neutral
She put the book on the table.,neutral
Only a wanker would say something like that.,hate
She put the chair on the table.,neutral
Only a shithead would say something like that.,hate
No one likes a buffoon.,offensive
That person is a real jerkoff.,hate
Stop acting like a sucker.,offensive
You are such a pussy.,hate
You are such a crackhead.,hate
Why are you such a twit?,offensive
He bought a new pen yesterday.,neutral
I saw a bottle in the room.,neutral
Why are you such a clown?,offensive
I can't believe you called me a wanker.,hate
She put the door on the table.,neutral
Don't be such a dope.,offensive
Stop acting like a numbskull.,offensive
Don't be such a dipstick.,offensive
No one likes a airhead.,offensive
Why are you such a stupid?,offensive
She put the fan on the table.,neutral
She put the shirt on the table.,neutral
Stop acting like a chump.,offensive
I can't believe you called me a jerkoff.,hate
Only a shithead would say something like that.,hate
There’s a book outside the window.,neutral
He bought a new book yesterday.,neutral
I can't believe you called me a bitch.,hate
Can you pass me that notebook?,neutral
She put the bag on the table.,neutral
Stop acting like a dipstick.,offensive
She put the lamp on the table.,neutral
There’s a apple outside the window.,neutral
No one likes a clown.,offensive
Only a whore would say something like that.,hate
Only a crackhead would say something like that.,hate
Only a slut would say something like that.,hate
I can't believe you called me a jerkoff.,hate
Why are you such a dumbass?,offensive
He bought a new cup yesterday.,neutral
He bought a new tree yesterday.,neutral
I saw a notebook in the room.,neutral
Only a jerkoff would say something like that.,hate
Can you pass me that television?,neutral
There’s a fan outside the window.,neutral
He bought a new school yesterday.,neutral
Being a motherfucker is disgusting.,hate
I can't believe you called me a nigger.,hate
There’s a notebook outside the window.,neutral
She put the shirt on the table.,neutral
Can you pass me that fan?,neutral
I saw a mountain in the room.,neutral
There’s a clock outside the window.,neutral
Being a retard is disgusting.,hate
There’s a book outside the window.,neutral
Don't be such a jerk.,offensive
I can't believe you called me a bollocks.,hate
There’s a bottle outside the window.,neutral
I saw a door in the room.,neutral
Don't be such a airhead.,offensive
She put the road on the table.,neutral
You're a complete simpleton sometimes.,offensive
He bought a new road yesterday.,neutral
Why are you such a clown?,offensive
No one likes a loser.,offensive
I can't believe you called me a motherfucker.,hate
No one likes a clown.,offensive
He bought a new shoe yesterday.,neutral
I saw a cat in the room.,neutral
You are such a nigger.,hate
Only a whore would say something like that.,hate
He bought a new river yesterday.,neutral
There’s a bed outside the window.,neutral
There’s a chair outside the window.,neutral
No one likes a buffoon.,offensive
She put the river on the table.,neutral
Don't be such a simpleton.,offensive
She put the clock on the table.,neutral
He bought a new shoe yesterday.,neutral
Don't be such a idiot.,offensive
Being a pussy is disgusting.,hate
Being a wanker is disgusting.,hate
Why are you such a dunce?,offensive
He bought a new river yesterday.,neutral
Only a cocksucker would say something like that.,hate
There’s a table outside the window.,neutral
Stop acting like a nincompoop.,offensive
Stop acting like a jerk.,offensive
You're a complete imbecile sometimes.,offensive
Stop acting like a dipshit.,offensive
Only a cunt would say something like that.,hate
He bought a new key yesterday.,neutral
Why are you such a clown?,offensive
He bought a new television yesterday.,neutral
Can you pass me that dog?,neutral
There’s a bottle outside the window.,neutral
Can you pass me that tree?,neutral
I can't believe you called me a shithead.,hate
Why are you such a twit?,offensive
Can you pass me that shirt?,neutral
Only a cocksucker would say something like that.,hate
I saw a key in the room.,neutral
He bought a new pen yesterday.,neutral
Only a nigga would say something like that.,hate
There’s a house outside the window.,neutral
That person is a real retard.,hate
Only a dickhead would say something like that.,hate
No one likes a dipstick.,offensive
You're a complete imbecile sometimes.,offensive
No one likes a idiot.,offensive
She put the window on the table.,neutral
He bought a new table yesterday.,neutral
I saw a pen in the room.,neutral
Can you pass me that bottle?,neutral
He bought a new pen yesterday.,neutral
You're a complete stupid sometimes.,offensive
Don't be such a nincompoop.,offensive
You are such a jerkoff.,hate
Don't be such a dunce.,offensive
Can you pass me that television?,neutral
You're a complete dipshit sometimes.,offensive
Why are you such a clown?,offensive
There’s a tree outside the window.,neutral
You're a complete stupid sometimes.,offensive
I saw a computer in the room.,neutral
Don't be such a loser.,offensive
Why are you such a simpleton?,offensive
You are such a nigger.,hate
There’s a cup outside the window.,neutral
Being a nigga is disgusting.,hate
I can't believe you called me a douchebag.,hate
There’s a television outside the window.,neutral
She put the chair on the table.,neutral
Can you pass me that book?,neutral
She put the key on the table.,neutral
He bought a new television yesterday.,neutral
Can you pass me that key?,neutral
That person is a real bitch.,hate
I saw a bed in the room.,neutral
No one likes a dumbass.,offensive
Only a cocksucker would say something like that.,hate
Stop acting like a clown.,offensive
Being a cunt is disgusting.,hate
Only a asshole would say something like that.,hate
That person is a real nigga.,hate
No one likes a bonehead.,offensive
I saw a book in the room.,neutral
You are such a scumbag.,hate
You are such a cunt.,hate
You're a complete moron sometimes.,offensive
Only a cock would say something like that.,hate
Don't be such a chump.,offensive
Stop acting like a nutcase.,offensive
I saw a mountain in the room.,neutral
Don't be such a fool.,offensive
He bought a new house yesterday.,neutral
Stop acting like a dope.,offensive
She put the fan on the table.,neutral
He bought a new clock yesterday.,neutral
Can you pass me that lamp?,neutral
Stop acting like a dope.,offensive
Only a shithead would say something like that.,hate
You are such a bitch.,hate
You are such a dickhead.,hate
Stop acting like a buffoon.,offensive
I can't believe you called me a prick.,hate
He bought a new phone yesterday.,neutral
I saw a clock in the room.,neutral
He bought a new television yesterday.,neutral
He bought a new notebook yesterday.,neutral
I saw a mountain in the room.,neutral
Only a knobhead would say something like that.,hate
You are such a twat.,hate
Stop acting like a stupid.,offensive
She put the chair on the table.,neutral
Being a bollocks is disgusting.,hate
That person is a real nigger.,hate
You're a complete weirdo sometimes.,offensive
Don't be such a simpleton.,offensive
I saw a cat in the room.,neutral
Don't be such a moron.,offensive
She put the shoe on the table.,neutral
You're a complete moron sometimes.,offensive
Why are you such a simpleton?,offensive
She put the window on the table.,neutral
Being a fuck is disgusting.,hate
He bought a new fan yesterday.,neutral
You are such a twat.,hate
Being a tosser is disgusting.,hate
You are such a faggot.,hate
Only a cocksucker would say something like that.,hate
No one likes a simpleton.,offensive
Only a nigger would say something like that.,hate
You're a complete buffoon sometimes.,offensive
No one likes a stupid.,offensive
He bought a new notebook yesterday.,neutral
That person is a real faggot.,hate
Only a crackhead would say something like that.,hate
She put the shoe on the table.,neutral
Don't be such a sucker.,offensive
She put the school on the table.,neutral
Being a scumbag is disgusting.,hate
Stop acting like a chump.,offensive
You are such a wanker.,hate
Don't be such a stupid.,offensive
There’s a window outside the window.,neutral
Don't be such a numbskull.,offensive
Can you pass me that phone?,neutral
She put the notebook on the table.,neutral
You're a complete nutcase sometimes.,offensive
No one likes a tool.,offensive
You are such a cock.,hate
No one likes a nutcase.,offensive
She put the bottle on the table.,neutral
I saw a chair in the room.,neutral
There’s a fan outside the window.,neutral
No one likes a tool.,offensive
Being a nigger is disgusting.,hate
Only a bastard would say something like that.,hate
Why are you such a nincompoop?,offensive
You're a complete dunce sometimes.,offensive
Can you pass me that apple?,neutral
I saw a road in the room.,neutral
I saw a pen in the room.,neutral
Can you pass me that tree?,neutral
You're a complete dope sometimes.,offensive
He bought a new shirt yesterday.,neutral
No one likes a dipstick.,offensive
Why are you such a imbecile?,offensive
You're a complete sucker sometimes.,offensive
I can't believe you called me a motherfucker.,hate
Why are you such a bonehead?,offensive
Can you pass me that chair?,neutral
I saw a shirt in the room.,neutral
Only a cock would say something like that.,hate
I saw a apple in the room.,neutral
Stop acting like a jerk.,offensive
You're a complete blockhead sometimes.,offensive
She put the table on the table.,neutral
You are such a prick.,hate
Stop acting like a stupid.,offensive
There’s a fan outside the window.,neutral
You are such a whore.,hate
Can you pass me that television?,neutral
You are such a pussy.,hate
Being a arsehole is disgusting.,hate
He bought a new dog yesterday.,neutral
Can you pass me that school?,neutral
Only a bitch would say something like that.,hate
You're a complete simpleton sometimes.,offensive
That person is a real crackhead.,hate
No one likes a sucker.,offensive
I can't believe you called me a asshole.,hate
Don't be such a stupid.,offensive
Stop acting like a nincompoop.,offensive
You're a complete dope sometimes.,offensive
Only a shithead would say something like that.,hate
That person is a real shithead.,hate
Don't be such a twit.,offensive
Being a douchebag is disgusting.,hate
He bought a new bottle yesterday.,neutral
Don't be such a dunce.,offensive
No one likes a dunce.,offensive
I can't believe you called me a cocksucker.,hate
I saw a house in the room.,neutral
No one likes a jerk.,offensive
I saw a school in the room.,neutral
Being a cock is disgusting.,hate
There’s a bottle outside the window.,neutral
Being a tosser is disgusting.,hate
Stop acting like a moron.,offensive
She put the river on the table.,neutral
You are such a motherfucker.,hate
Only a cocksucker would say something like that.,hate
That person is a real douchebag.,hate
He bought a new key yesterday.,neutral
You're a complete numbskull sometimes.,offensive
She put the tree on the table.,neutral
No one likes a simpleton.,offensive
No one likes a dipshit.,offensive
Only a jerkoff would say something like that.,hate
Only a pussy would say something like that.,hate
Can you pass me that house?,neutral
I can't believe you called me a dickhead.,hate
She put the tree on the table.,neutral
She put the dog on the table.,neutral
There’s a dog outside the window.,neutral
That person is a real crackhead.,hate
Why are you such a twit?,offensive
I can't believe you called me a motherfucker.,hate
Stop acting like a simpleton.,offensive
That person is a real twat.,hate
She put the car on the table.,neutral
Stop acting like a dipshit.,offensive
Stop acting like a numbskull.,offensive
You are such a whore.,hate
Only a faggot would say something like that.,hate
You're a complete sucker sometimes.,offensive
Being a cock is disgusting.,hate
Why are you such a fool?,offensive
You're a complete bonehead sometimes.,offensive
Can you pass me that phone?,neutral
There’s a river outside the window.,neutral
Being a dickhead is disgusting.,hate
That person is a real asshole.,hate
You're a complete imbecile sometimes.,offensive
He bought a new mountain yesterday.,neutral
Stop acting like a clown.,offensive
She put the bottle on the table.,neutral
You're a complete numbskull sometimes.,offensive
No one likes a fool.,offensive
No one likes a tool.,offensive
She put the clock on the table.,neutral
No one likes a numbskull.,offensive
He bought a new mountain yesterday.,neutral
You're a complete imbecile sometimes.,offensive
I saw a school in the room.,neutral
Don't be such a stupid.,offensive
That person is a real bastard.,hate
There’s a clock outside the window.,neutral
Stop acting like a weirdo.,offensive
I saw a mountain in the room.,neutral
She put the notebook on the table.,neutral
Stop acting like a dipstick.,offensive
You're a complete stupid sometimes.,offensive
That person is a real jerkoff.,hate
That person is a real twat.,hate
Don't be such a dumbass.,offensive
No one likes a airhead.,offensive
Only a cocksucker would say something like that.,hate
No one likes a idiot.,offensive
Stop acting like a loser.,offensive
I can't believe you called me a twat.,hate
Stop acting like a tool.,offensive
Stop acting like a weirdo.,offensive
That person is a real retard.,hate
She put the bottle on the table.,neutral
Why are you such a bonehead?,offensive
That person is a real prick.,hate
Stop acting like a sucker.,offensive
There’s a door outside the window.,neutral
No one likes a loser.,offensive
Only a bitch would say something like that.,hate
You're a complete simpleton sometimes.,offensive
Why are you such a dunce?,offensive
Can you pass me that shirt?,neutral
I can't believe you called me a pussy.,hate
Why are you such a nincompoop?,offensive
You are such a tosser.,hate
You're a complete dumbass sometimes.,offensive
Only a arsehole would say something like that.,hate
Being a tosser is disgusting.,hate
Can you pass me that chair?,neutral
No one likes a fool.,offensive
There’s a chair outside the window.,neutral
You are such a motherfucker.,hate
You are such a douchebag.,hate
I saw a table in the room.,neutral
You are such a scumbag.,hate
Stop acting like a jerk.,offensive
That person is a real knobhead.,hate
You are such a scumbag.,hate
There’s a lamp outside the window.,neutral
You're a complete airhead sometimes.,offensive
Can you pass me that school?,neutral
Being a motherfucker is disgusting.,hate
I can't believe you called me a asshole.,hate
Being a pussy is disgusting.,hate
I saw a television in the room.,neutral
Can you pass me that door?,neutral
Stop acting like a airhead.,offensive
Why are you such a numbskull?,offensive
You're a complete dipshit sometimes.,offensive
You're a complete sucker sometimes.,offensive
Stop acting like a jerk.,offensive
Don't be such a nutcase.,offensive
That person is a real wanker.,hate
I can't believe you called me a nigga.,hate
Stop acting like a nutcase.,offensive
He bought a new mountain yesterday.,neutral
You are such a cocksucker.,hate
Why are you such a buffoon?,offensive
She put the fan on the table.,neutral
I saw a clock in the room.,neutral
Why are you such a dumbass?,offensive
You're a complete dipstick sometimes.,offensive
She put the dog on the table.,neutral
I can't believe you called me a scumbag.,hate
There’s a chair outside the window.,neutral
No one likes a idiot.,offensive
No one likes a loser.,offensive
She put the house on the table.,neutral
Stop acting like a dipstick.,offensive
He bought a new mountain yesterday.,neutral
I can't believe you called me a cocksucker.,hate
No one likes a jerk.,offensive
That person is a real crackhead.,hate
I saw a house in the room.,neutral
Being a nigga is disgusting.,hate
There’s a car outside the window.,neutral
Don't be such a nincompoop.,offensive
You are such a faggot.,hate
You're a complete weirdo sometimes.,offensive
You are such a shithead.,hate
There’s a road outside the window.,neutral
I can't believe you called me a crackhead.,hate
I can't believe you called me a wanker.,hate
I can't believe you called me a motherfucker.,hate
She put the door on the table.,neutral
I saw a television in the room.,neutral
That person is a real crackhead.,hate
I saw a window in the room.,neutral
I saw a door in the room.,neutral
Stop acting like a dumbass.,offensive
That person is a real crackhead.,hate
You're a complete simpleton sometimes.,offensive
Don't be such a buffoon.,offensive
You are such a bastard.,hate
Don't be such a bonehead.,offensive
She put the computer on the table.,neutral
Can you pass me that chair?,neutral
Being a nigga is disgusting.,hate
Only a retard would say something like that.,hate
Why are you such a imbecile?,offensive
You're a complete numbskull sometimes.,offensive
That person is a real wanker.,hate
I can't believe you called me a jerkoff.,hate
No one likes a clown.,offensive
No one likes a buffoon.,offensive
I saw a bottle in the room.,neutral
She put the house on the table.,neutral
Don't be such a numbskull.,offensive
You're a complete idiot sometimes.,offensive
No one likes a dipshit.,offensive
You're a complete sucker sometimes.,offensive
Don't be such a loser.,offensive
Don't be such a dope.,offensive
Why are you such a dope?,offensive
She put the notebook on the table.,neutral
I can't believe you called me a douchebag.,hate
Don't be such a twit.,offensive
No one likes a buffoon.,offensive
You are such a bastard.,hate
I can't believe you called me a bastard.,hate
No one likes a dipstick.,offensive
That person is a real dickhead.,hate
I can't believe you called me a tosser.,hate
That person is a real cunt.,hate
Stop acting like a twit.,offensive
He bought a new shoe yesterday.,neutral
I can't believe you called me a faggot.,hate
I can't believe you called me a whore.,hate
Why are you such a idiot?,offensive
Stop acting like a fool.,offensive
There’s a mountain outside the window.,neutral
She put the bed on the table.,neutral
He bought a new chair yesterday.,neutral
You are such a arsehole.,hate
You're a complete dunce sometimes.,offensive
She put the shoe on the table.,neutral
He bought a new window yesterday.,neutral
He bought a new table yesterday.,neutral
That person is a real twat.,hate
Why are you such a moron?,offensive
He bought a new computer yesterday.,neutral
Can you pass me that key?,neutral
You are such a bollocks.,hate
Only a retard would say something like that.,hate
Stop acting like a chump.,offensive
No one likes a buffoon.,offensive
Stop acting like a imbecile.,offensive
Being a tosser is disgusting.,hate
That person is a real cock.,hate
There’s a house outside the window.,neutral
He bought a new car yesterday.,neutral
I can't believe you called me a bastard.,hate
There’s a river outside the window.,neutral
No one likes a idiot.,offensive
I saw a key in the room.,neutral
Why are you such a dipstick?,offensive
There’s a notebook outside the window.,neutral
Only a pussy would say something like that.,hate
You are such a nigga.,hate
Don't be such a nutcase.,offensive
Stop acting like a dope.,offensive
Only a cunt would say something like that.,hate
No one likes a stupid.,offensive
There’s a school outside the window.,neutral
Only a crackhead would say something like that.,hate
Why are you such a dumbass?,offensive
Being a cunt is disgusting.,hate
I saw a house in the room.,neutral
Why are you such a loser?,offensive
She put the window on the table.,neutral
Don't be such a dipshit.,offensive
You're a complete nutcase sometimes.,offensive
That person is a real cock.,hate
No one likes a simpleton.,offensive
Why are you such a loser?,offensive
She put the road on the table.,neutral
Why are you such a buffoon?,offensive
I saw a shoe in the room.,neutral
That person is a real cock.,hate
That person is a real scumbag.,hate
I saw a key in the room.,neutral
He bought a new chair yesterday.,neutral
I can't believe you called me a twat.,hate
Why are you such a blockhead?,offensive
I saw a bag in the room.,neutral
You are such a bastard.,hate
That person is a real nigger.,hate
That person is a real prick.,hate
I can't believe you called me a nigger.,hate
You're a complete airhead sometimes.,offensive
No one likes a twit.,offensive
Why are you such a idiot?,offensive
Only a fuck would say something like that.,hate
I saw a door in the room.,neutral
There’s a cat outside the window.,neutral
That person is a real scumbag.,hate
You are such a cocksucker.,hate
Stop acting like a idiot.,offensive
Stop acting like a twit.,offensive
Being a faggot is disgusting.,hate
Can you pass me that phone?,neutral
Why are you such a buffoon?,offensive
He bought a new school yesterday.,neutral
Don't be such a twit.,offensive
Don't be such a twit.,offensive
You are such a tosser.,hate
Can you pass me that mountain?,neutral
Can you pass me that clock?,neutral
No one likes a dunce.,offensive
No one likes a blockhead.,offensive
No one likes a clown.,offensive
You are such a cunt.,hate
Don't be such a weirdo.,offensive
He bought a new cat yesterday.,neutral
Being a cock is disgusting.,hate
You're a complete dumbass sometimes.,offensive
She put the notebook on the table.,neutral
She put the door on the table.,neutral
Don't be such a dope.,offensive
Stop acting like a loser.,offensive
Can you pass me that cup?,neutral
Being a whore is disgusting.,hate
You're a complete idiot sometimes.,offensive
Being a shithead is disgusting.,hate
Can you pass me that school?,neutral
Can you pass me that clock?,neutral
That person is a real cocksucker.,hate
She put the fan on the table.,neutral
Being a retard is disgusting.,hate
Stop acting like a jerk.,offensive
Stop acting like a tool.,offensive
Stop acting like a dipshit.,offensive
You are such a motherfucker.,hate
Don't be such a clown.,offensive
You're a complete dumbass sometimes.,offensive
Stop acting like a imbecile.,offensive
I saw a tree in the room.,neutral
Only a fuck would say something like that.,hate
She put the mountain on the table.,neutral
Stop acting like a buffoon.,offensive
Why are you such a blockhead?,offensive
Why are you such a dipstick?,offensive
That person is a real scumbag.,hate
Can you pass me that table?,neutral
Only a shithead would say something like that.,hate
You're a complete loser sometimes.,offensive
Why are you such a chump?,offensive
There’s a notebook outside the window.,neutral
I can't believe you called me a nigger.,hate
Only a motherfucker would say something like that.,hate
No one likes a sucker.,offensive
You are such a cunt.,hate
Only a dickhead would say something like that.,hate
Why are you such a dunce?,offensive
Can you pass me that fan?,neutral
You're a complete tool sometimes.,offensive
I can't believe you called me a douchebag.,hate
You're a complete stupid sometimes.,offensive
Being a nigger is disgusting.,hate
I can't believe you called me a jerkoff.,hate
She put the lamp on the table.,neutral
There’s a shirt outside the window.,neutral
I saw a cup in the room.,neutral
Why are you such a idiot?,offensive
She put the car on the table.,neutral
She put the shirt on the table.,neutral
No one likes a stupid.,offensive
She put the door on the table.,neutral
Being a bitch is disgusting.,hate
She put the notebook on the table.,neutral
That person is a real arsehole.,hate
Being a nigga is disgusting.,hate
He bought a new lamp yesterday.,neutral
There’s a shoe outside the window.,neutral
There’s a apple outside the window.,neutral
There’s a notebook outside the window.,neutral
She put the cup on the table.,neutral
She put the table on the table.,neutral
Being a asshole is disgusting.,hate
You are such a retard.,hate
He bought a new cat yesterday.,neutral
You are such a knobhead.,hate
I can't believe you called me a retard.,hate
There’s a window outside the window.,neutral
You're a complete imbecile sometimes.,offensive
No one likes a dumbass.,offensive
She put the dog on the table.,neutral
Why are you such a chump?,offensive
That person is a real cocksucker.,hate
Why are you such a sucker?,offensive
Can you pass me that pen?,neutral
You are such a cock.,hate
You are such a retard.,hate
I can't believe you called me a shithead.,hate
She put the shoe on the table.,neutral
I can't believe you called me a douchebag.,hate
I saw a television in the room.,neutral
That person is a real asshole.,hate
I can't believe you called me a crackhead.,hate
Why are you such a imbecile?,offensive
Why are you such a moron?,offensive
Being a whore is disgusting.,hate
She put the clock on the table.,neutral
There’s a fan outside the window.,neutral
She put the tree on the table.,neutral
Why are you such a simpleton?,offensive
You are such a bitch.,hate
Why are you such a sucker?,offensive
Only a bastard would say something like that.,hate
You are such a douchebag.,hate
You're a complete clown sometimes.,offensive
That person is a real prick.,hate
You are such a dickhead.,hate
I can't believe you called me a bitch.,hate
He bought a new door yesterday.,neutral
Only a twat would say something like that.,hate
No one likes a clown.,offensive
I can't believe you called me a arsehole.,hate
Being a arsehole is disgusting.,hate
Can you pass me that shoe?,neutral
There’s a shirt outside the window.,neutral
Can you pass me that river?,neutral
Don't be such a nincompoop.,offensive
There’s a river outside the window.,neutral
No one likes a buffoon.,offensive
She put the shirt on the table.,neutral
I can't believe you called me a cocksucker.,hate
You're a complete moron sometimes.,offensive
Don't be such a jerk.,offensive
No one likes a simpleton.,offensive
Why are you such a imbecile?,offensive
I saw a television in the room.,neutral
Being a asshole is disgusting.,hate
Why are you such a buffoon?,offensive
Why are you such a nutcase?,offensive
Stop acting like a airhead.,offensive
Don't be such a sucker.,offensive
Only a bollocks would say something like that.,hate
He bought a new dog yesterday.,neutral
There’s a door outside the window.,neutral
Only a bitch would say something like that.,hate
Why are you such a fool?,offensive
Only a pussy would say something like that.,hate
That person is a real bollocks.,hate
Stop acting like a blockhead.,offensive
Being a faggot is disgusting.,hate
Can you pass me that notebook?,neutral
You are such a tosser.,hate
Only a retard would say something like that.,hate
Why are you such a dope?,offensive
Only a bastard would say something like that.,hate
That person is a real motherfucker.,hate
That person is a real bastard.,hate
No one likes a dipshit.,offensive
She put the lamp on the table.,neutral
I can't believe you called me a dickhead.,hate
Only a slut would say something like that.,hate
That person is a real whore.,hate
Why are you such a airhead?,offensive
Why are you such a fool?,offensive
You are such a cocksucker.,hate
Being a whore is disgusting.,hate
Why are you such a dipstick?,offensive
I saw a mountain in the room.,neutral
I can't believe you called me a faggot.,hate
Don't be such a buffoon.,offensive
He bought a new door yesterday.,neutral
Can you pass me that clock?,neutral
You are such a cock.,hate
Only a twat would say something like that.,hate
Can you pass me that mountain?,neutral
Only a wanker would say something like that.,hate
I can't believe you called me a dickhead.,hate
That person is a real fuck.,hate
You're a complete numbskull sometimes.,offensive
Stop acting like a bonehead.,offensive
You are such a scumbag.,hate
She put the road on the table.,neutral
Only a crackhead would say something like that.,hate
There’s a bed outside the window.,neutral
Can you pass me that dog?,neutral
Stop acting like a dumbass.,offensive
Why are you such a sucker?,offensive
Can you pass me that door?,neutral
He bought a new bottle yesterday.,neutral
You are such a fuck.,hate
You are such a shithead.,hate
You're a complete twit sometimes.,offensive
Can you pass me that dog?,neutral
He bought a new bed yesterday.,neutral
He bought a new table yesterday.,neutral
She put the key on the table.,neutral
She put the computer on the table.,neutral
You're a complete fool sometimes.,offensive
Being a cunt is disgusting.,hate
Why are you such a airhead?,offensive
I can't believe you called me a cock.,hate
Don't be such a stupid.,offensive
That person is a real bitch.,hate
I can't believe you called me a fuck.,hate
I saw a shoe in the room.,neutral
You're a complete clown sometimes.,offensive
I saw a house in the room.,neutral
He bought a new pen yesterday.,neutral
There’s a notebook outside the window.,neutral
You're a complete moron sometimes.,offensive
I saw a notebook in the room.,neutral
There’s a shoe outside the window.,neutral
Stop acting like a numbskull.,offensive
You're a complete simpleton sometimes.,offensive
Only a scumbag would say something like that.,hate
Stop acting like a sucker.,offensive
You are such a whore.,hate
You're a complete twit sometimes.,offensive
I can't believe you called me a nigga.,hate
I can't believe you called me a bastard.,hate
She put the tree on the table.,neutral
He bought a new phone yesterday.,neutral
